x1,x2,x3,x4,u,Y_v,Y_w
-1.946215272589813250e-01,3.294412188139730358e+00,1.046875253339651035e+00,-3.549504391840299533e+00,1.661764881229475677e+01,4.195140789974589612e-01,-8.853258813322808507e-01
-1.632002387405368238e-01,3.194513584755430902e+00,1.466389332337109996e+00,-4.434830273172580384e+00,1.718960016279837788e+01,4.292472405952552084e-01,-8.549319773309695947e-01
-1.211608438738745186e-01,3.072802203766095808e+00,1.895636572932365205e+00,-5.289762250503549978e+00,1.731679739625691639e+01,4.230210192485439613e-01,-7.697764583518260650e-01
-6.845686031055243925e-02,2.930707696508574323e+00,2.318657592180909166e+00,-6.059538708855376044e+00,1.670596459454907290e+01,3.930873441791109535e-01,-6.130329440946633568e-01
-5.541335587452473482e-03,2.771258296919430375e+00,2.711744936360020120e+00,-6.672571652950039400e+00,1.506756017449292884e+01,3.344703228817178520e-01,-3.847143190949129377e-01
6.647207634430300771e-02,2.599302973006509809e+00,3.046215259241737972e+00,-7.057285972044952338e+00,1.223716807996621370e+01,2.482443308867074983e-01,-1.115444447422841989e-01
1.457621802216499951e-01,2.421170553602690845e+00,3.294459590128445470e+00,-7.168830416787236537e+00,8.284747489010577226e+00,1.419963851557941581e-01,1.588005389129367728e-01
2.299143557616319111e-01,2.243712328986774640e+00,3.436455975284239628e+00,-7.010029877874299764e+00,3.556233006773101835e+00,2.735986287207703427e-02,3.777114904465310730e-01
3.161657683003331054e-01,2.073072307959203275e+00,3.463815838156316662e+00,-6.632318387427768691e+00,-1.389060345002338437e+00,-8.321710180153507608e-02,5.152885478936584107e-01
4.017061003394183927e-01,1.913701121130243044e+00,3.380598736354781586e+00,-6.117029839534110280e+00,-5.917687030479879873e+00,-1.785691293249462852e-01,5.674678369299295255e-01
4.839685552771592625e-01,1.767944358092258250e+00,3.202029607029835301e+00,-5.549562002604180755e+00,-9.446816039008126609e+00,-2.492566154586368654e-01,5.508527058894872042e-01
5.608835521867836515e-01,1.636214322547557165e+00,2.952772991571198435e+00,-4.998709296714693551e+00,-1.150813717118169421e+01,-2.873003825453568361e-01,4.932679276074134478e-01
6.310949759782151780e-01,1.517554132016804225e+00,2.665472609025841599e+00,-4.505441369107280103e+00,-1.197988459665406502e+01,-2.909995887810317150e-01,4.249883247696555344e-01
6.940815790945679131e-01,1.410368844203132133e+00,2.374473020244809884e+00,-4.080453044337624569e+00,-1.150767018307234046e+01,-2.749582926086024948e-01,3.651117614303176495e-01
7.499969927029740413e-01,1.313047398295078549e+00,2.099514727636207390e+00,-3.715341282907306919e+00,-1.088564079973812504e+01,-2.568561571415461930e-01,3.149271004977656219e-01
7.992673016835876165e-01,1.224214318827838932e+00,1.842658570494661197e+00,-3.400414182409541297e+00,-1.030255535869469696e+01,-2.406793112014768976e-01,2.719385388013177973e-01
8.423204320356290076e-01,1.142706828638887950e+00,1.601979259293184299e+00,-3.128475643608223500e+00,-9.730524632190194367e+00,-2.255378722699665772e-01,2.353808576496017047e-01
8.795473967099028956e-01,1.067531987682573513e+00,1.376441387023217722e+00,-2.893094785958621795e+00,-9.158252437612761199e+00,-2.109663853208916251e-01,2.046448053408251866e-01
9.113192321513159389e-01,9.978497123525109647e-01,1.165475001702326097e+00,-2.688449980617796609e+00,-8.586052502671062570e+00,-1.968103135075808252e-01,1.790724277085287142e-01
9.379947395020109546e-01,9.329570566322799019e-01,9.686646881947452714e-01,-2.509377552909267894e+00,-8.018088404419563275e+00,-1.830436872059517661e-01,1.579875122520957298e-01
9.599227277795659985e-01,8.722715837039574094e-01,7.856210009887935053e-01,-2.351390040657172165e+00,-7.459399191878367752e+00,-1.696938270283984140e-01,1.407292788201521816e-01
9.774419832921363849e-01,8.153146775219254350e-01,6.159271739603950913e-01,-2.210660761837019983e+00,-6.914707899099258981e+00,-1.568067410412211649e-01,1.266774110882171733e-01
9.908803407140612807e-01,7.616955440030129809e-01,4.591204329191739264e-01,-2.083983350748802810e+00,-6.387966797916275752e+00,-1.444302337076815435e-01,1.152678230718031660e-01
1.000553500168166909e+00,7.110964172795529725e-01,3.146901992114923829e-01,-1.968715527676999644e+00,-5.882238273706237308e+00,-1.326058619744530098e-01,1.060005606871190498e-01
1.006763902039871095e+00,6.632592688599380226e-01,1.820843372370393731e-01,-1.862714966989880594e+00,-5.399724993275484941e+00,-1.213654600356746799e-01,9.844204385876276220e-02
1.009799803273444541e+00,6.179741471686550636e-01,6.071887720136469324e-02,-1.764272923131117832e+00,-4.941861763946042707e+00,-1.107300823880216223e-01,9.222353933517846158e-02
1.009934611481523969e+00,5.750691566130046173e-01,-5.001120518665692904e-02,-1.672049383795939370e+00,-4.509427392727849870e+00,-1.007102313250109876e-01,8.703727233795244267e-02
1.007426486922751163e+00,5.344020085466756331e-01,-1.507214365116679167e-01,-1.585012111457986927e+00,-4.102657287530430352e+00,-9.130675724562348217e-02,8.263115114267383099e-02
1.002518197978337522e+00,4.958530296101342216e-01,-2.420281937572913988e-01,-1.502380960315313096e+00,-3.721348459240819473e+00,-8.251209351839972062e-02,7.880276119384443945e-02
9.954372032146131533e-01,4.593194864502365138e-01,-3.245402872756911195e-01,-1.423578199121468657e+00,-3.364953779446119952e+00,-7.431163212861663370e-02,7.539307424025665227e-02
9.863959272212360352e-01,4.247110731240284487e-01,-3.988519194043077531e-01,-1.348185124881212005e+00,-3.032664696425086071e+00,-6.668512304793472456e-02,7.228018382208301063e-02
9.755921953957763515e-01,3.919464042546751958e-01,-4.655370424522424777e-01,-1.275904941059128994e+00,-2.723482615748995528e+00,-5.960802271198362146e-02,6.937329068997777348e-02
9.632097932156451492e-01,3.609503604592946835e-01,-5.251450651642260992e-01,-1.206531650369151221e+00,-2.436279540898127038e+00,-5.305274221908784504e-02,6.660709964988464904e-02
9.494191174530219879e-01,3.316521408381868929e-01,-5.781978073833139442e-01,-1.139924550719266572e+00,-2.169848717267446769e+00,-4.698976305451163515e-02,6.393673967753077392e-02
9.343778897184318311e-01,3.039838890059652909e-01,-6.251875704378255794e-01,-1.075987811041735798e+00,-1.922946093853098892e+00,-4.138860152468348819e-02,6.133327581044567545e-02
9.182319062825736733e-01,2.778797730935588794e-01,-6.665761719625090675e-01,-1.014654535231290122e+00,-1.694323460907817269e+00,-3.621861404004889096e-02,5.877984308796235791e-02
9.011158020202322261e-01,2.532754153340015524e-01,-7.027947860025579585e-01,-9.558746921433277643e-01,-1.482754162450750757e+00,-3.144964459002841384e-02,5.626839965358054751e-02
8.831538102929809009e-01,2.301075823697730505e-01,-7.342444305925863723e-01,-8.996062924897472168e-01,-1.287052305147749154e+00,-2.705252293393056728e-02,5.379706954607543778e-02
8.644605044343967037e-01,2.083140625368773424e-01,-7.612969535265169396e-01,-8.458092229436717790e-01,-1.106086390893198823e+00,-2.299942732766491194e-02,5.136802597606626719e-02
8.451415100670300884e-01,1.878336705111686988e-01,-7.842963808541818516e-01,-7.944411969676055119e-01,-9.387882757574852466e-01,-1.926412883300088197e-02,4.898585347419170954e-02
8.252941806582089201e-01,1.686063324439573408e-01,-8.035605096871827335e-01,-7.454553434934138023e-01,-7.841583112526427923e-01,-1.582213581396962887e-02,4.665632117067020079e-02
8.050082314524728000e-01,1.505732158355013450e-01,-8.193826455011523624e-01,-6.987990223227436015e-01,-6.412674526232489125e-01,-1.265075726174491599e-02,4.438549882505471444e-02
7.843663291824428674e-01,1.336768778128758772e-01,-8.320334027628972784e-01,-6.544135234976888871e-01,-5.092570353556113982e-01,-9.729102618235230260e-03,4.217915044789388723e-02
7.634446367692357960e-01,1.178614132260724923e-01,-8.417625053811325087e-01,-6.122343730497949998e-01,-3.873368251558704234e-01,-7.038033975489965677e-03,4.004234645830018202e-02
7.423133136129460574e-01,1.030725901703938019e-01,-8.488005393566224743e-01,-5.721920265914948178e-01,-2.747818528832667306e-01,-4.560084437884248665e-03,3.797924272274211255e-02
7.210369730919998776e-01,8.925796535369782958e-02,-8.533606237945067230e-01,-5.342127838687527053e-01,-1.709284527964675671e-01,-2.279354136441980039e-03,3.599298290526675714e-02
6.996750995923274319e-01,7.636697534782635466e-02,-8.556399779309487030e-01,-4.982198009634859481e-01,-7.516983752424416521e-02,-1.813931632621557100e-04,3.408568844992176938e-02
6.782824278298975607e-01,6.435100239456918725e-02,-8.558213710942108587e-01,-4.641341125135641787e-01,1.304853166790813368e-02,1.746921336073903319e-03,3.225850777548927573e-02
6.569092874664330672e-01,5.316341526725051891e-02,-8.540744497581369554e-01,-4.318756047380749030e-01,9.423358616043982228e-02,3.517508486325038319e-03,3.051170272108294501e-02
6.356019160961206005e-01,4.275958689094268295e-02,-8.505569412718119171e-01,-4.013639020169919580e-01,1.688491633854726781e-01,5.141203508225444807e-03,2.884475572591993497e-02
6.144027436424296384e-01,3.309689114613441341e-02,-8.454157377635864723e-01,-3.725191462910720230e-01,2.373202963712440772e-01,6.627871363492077172e-03,2.725648569899552509e-02
5.933506510830395264e-01,2.413468164625650475e-02,-8.387878664000943951e-01,-3.452626605920764979e-01,3.000372195686703547e-01,7.986512558380454152e-03,2.574516420119049576e-02
5.724812062455162387e-01,1.583425539041099714e-02,-8.308013538417139410e-01,-3.195174963908860022e-01,3.573590554078013848e-01,9.225360143356176046e-03,2.430862624294632957e-02
5.518268792082741125e-01,8.158804128177861090e-03,-8.215759936983577649e-01,-2.952088701479396726e-01,4.096171690984455882e-01,1.035196758885958968e-02,2.294437227953438629e-02
5.314172396172519575e-01,1.073356095362220644e-03,-8.112240261094981753e-01,-2.722644978684052863e-01,4.571181909191363024e-01,1.137328755513811185e-02,2.164965941812863059e-02
5.112791380008722131e-01,-5.455289465714982522e-03,-7.998507385543600634e-01,-2.506148384502766557e-01,5.001467174523838155e-01,1.229574190742654949e-02,2.042158108174693676e-02
4.914368729426281668e-01,-1.145863286708449953e-02,-7.875549966469335139e-01,-2.301932573685297190e-01,5.389677087715011305e-01,1.312528348164665459e-02,1.925713509696605485e-02
4.719123457581294590e-01,-1.696654777186286725e-02,-7.744297131652868593e-01,-2.109361222715636641e-01,5.738286034682836823e-01,1.386745023385249631e-02,1.815328072660568615e-02
4.527252041251607628e-01,-2.200735666436989119e-02,-7.605622629314343630e-01,-1.927828415449579780e-01,6.049611749785173131e-01,1.452741244538158227e-02,1.710698545693431494e-02
4.338929759333479130e-01,-2.660790669726192589e-02,-7.460348504860527807e-01,-1.756758560880236630e-01,6.325831537836328344e-01,1.511001367910069781e-02,1.611526254184716955e-02
4.154311944551556390e-01,-3.079364486274813878e-02,-7.309248368069520829e-01,-1.595605935461764935e-01,6.568996396649627867e-01,1.561980616501479346e-02,1.517520037121833365e-02
3.973535157922393757e-01,-3.458869165251034217e-02,-7.153050306419372895e-01,-1.443853931749581598e-01,6.781043273614584255e-01,1.606108126458027918e-02,1.428398473819469938e-02
