x1,x2,x3,x4,u,Y_v,Y_w
5.560423179929882553e-02,-9.660310659757838370e-02,-3.227150737304040340e-01,7.708238977857180541e-02,1.991032009189314556e+00,1.895541932880995262e-02,1.889293796394674041e-02
5.247185083298885194e-02,-9.573797603376063559e-02,-3.037596544015940814e-01,9.597532774251854581e-02,1.862149464686928546e+00,1.767745444785323583e-02,1.653869280887936000e-02
4.952263277888868664e-02,-9.469571936039672400e-02,-2.860821999537408455e-01,1.125140205513979058e-01,1.740643170803658268e+00,1.647478631199605914e-02,1.436676480665567690e-02
4.674417467252343222e-02,-9.349896324207537801e-02,-2.696074136417447864e-01,1.268807853580535827e-01,1.626301894389026392e+00,1.534507513291566427e-02,1.236812261032196880e-02
4.412481479893505532e-02,-9.216855668067309992e-02,-2.542623385088291221e-01,1.392489079683755515e-01,1.518896989694337396e+00,1.428582999252289709e-02,1.053380958032715253e-02
4.165360854063590579e-02,-9.072366093408647247e-02,-2.399765085163062250e-01,1.497827175487027040e-01,1.418185686209066265e+00,1.329443972052890555e-02,8.854981347190316043e-03
3.932030286859350410e-02,-8.918183850056425610e-02,-2.266820687957773195e-01,1.586376988958930201e-01,1.323914084921616885e+00,1.236820096672566760e-02,7.322938562243919147e-03
3.711530977097623335e-02,-8.755914081724143483e-02,-2.143138678290516519e-01,1.659606374581369392e-01,1.235819887322109123e+00,1.150434373036976488e-02,5.929155502148064638e-03
3.502967888765717852e-02,-8.587019436620980939e-02,-2.028095240986818870e-01,1.718897929602850039e-01,1.153634876778839802e+00,1.070005455179026677e-02,4.665305022118815259e-03
3.305506959407684964e-02,-8.412828492040215489e-02,-1.921094695468916203e-01,1.765550979824038191e-01,1.077087168456745792e+00,9.952497529187642744e-03,3.523280226135017124e-03
3.118372275550680001e-02,-8.234543969620565507e-02,-1.821569720177039775e-01,1.800783782085388363e-01,1.005903241500577305e+00,9.258833293908891315e-03,2.495213131856494071e-03
2.940843235167795236e-02,-8.053250721113813793e-02,-1.728981387237950862e-01,1.825735913403953303e-01,9.398097655076127488e-01,8.616236057069848187e-03,1.573490544935968183e-03
2.772251715188830956e-02,-7.869923467388346972e-02,-1.642819026667252380e-01,1.841470818853312985e-01,8.785352322179228457e-01,8.021908827370832773e-03,7.507673161379901927e-04
2.611979260191859761e-02,-7.685434276101026085e-02,-1.562599938393544052e-01,1.848978492014692887e-01,8.218114026758538415e-01,7.473096892181840811e-03,1.997712932280681919e-05
2.459454306625723230e-02,-7.500559766012263041e-02,-1.487868969471725644e-01,1.849178263307920955e-01,7.693745797499460526e-01,6.967099650033226066e-03,-6.256590452797805568e-04
