x1,x2,x3,x4,u,Y_v,Y_w
1.904299672174195046e-01,2.421147625907375200e+00,4.689539851721169050e+00,-6.480525056424895958e+00,1.425911451344079950e+01,2.698148070537289556e-01,-1.447837485281322500e-02
3.110688526874612059e-01,2.258775632864966187e+00,4.959354658774898006e+00,-6.495003431277709183e+00,7.589561849850789521e+00,1.039213852478937383e-01,1.773266777095763302e-01
4.363595054087383018e-01,2.098517567824042196e+00,5.063276044022791744e+00,-6.317676753568132852e+00,-1.462173397536872921e+00,-1.056161835567124285e-01,3.332155664389846450e-01
5.616098460525700276e-01,1.944742212380045299e+00,4.957659860466079316e+00,-5.984461187129148207e+00,-1.261674129662024235e+01,-3.536344350787654633e-01,4.236136982427174402e-01
6.811074977155485710e-01,1.800533967260831814e+00,4.604025425387313852e+00,-5.560847488886430767e+00,-2.322716895863926467e+01,-5.840909613492719643e-01,4.202106111417664991e-01
7.888818822798362440e-01,1.666957384375849616e+00,4.019934464038041888e+00,-5.140636877744664268e+00,-2.706886093802220472e+01,-6.608737862196192303e-01,3.338793300150433296e-01
8.811003265292820519e-01,1.542826913628782659e+00,3.359060677818422658e+00,-4.806757547729620939e+00,-2.366041915510236038e+01,-5.758956560252022072e-01,2.428227390497763594e-01
9.578655505616087140e-01,1.425873357260670549e+00,2.783165021793220451e+00,-4.563934808679844579e+00,-1.781196947044375989e+01,-4.375635603015575192e-01,1.910778401402168925e-01
1.021965917217254161e+00,1.314300111611847344e+00,2.345601461491662931e+00,-4.372856968539627687e+00,-1.197537935250593399e+01,-2.999751834599022615e-01,1.773533076131226238e-01
1.076847928636189833e+00,1.207292965314631594e+00,2.045626278031760670e+00,-4.195503660926505063e+00,-6.820567907198296531e+00,-1.773633660901634546e-01,1.910705593882831010e-01
1.125762678860671162e+00,1.104858997505843599e+00,1.868262911941597215e+00,-4.004433101538221962e+00,-2.454971176375490227e+00,-7.180841696259454565e-02,2.225324077119359423e-01
1.171561772957324665e+00,1.007570195936851265e+00,1.796454494979002670e+00,-3.781900693826286020e+00,1.151551053731798779e+00,1.726878528596098583e-02,2.636838848355291809e-01
1.216678320700004479e+00,9.163410746593093625e-01,1.813723280264963655e+00,-3.518216808990756839e+00,4.044792768856349419e+00,9.048565408930242526e-02,3.075971740148339961e-01
1.263141632775518941e+00,8.322412020374381214e-01,1.904208934354266081e+00,-3.210619634975922843e+00,6.275042703415775414e+00,1.484138286367011617e-01,3.485840345954027697e-01
1.312591798503844887e+00,7.563371123192605960e-01,2.052622762990967242e+00,-2.862035600380520073e+00,7.877388253917964711e+00,1.912718511000850441e-01,3.819962564653649473e-01
1.366289325263524423e+00,6.895627833345965296e-01,2.243894614091052286e+00,-2.480039343915155126e+00,8.892402584488110051e+00,2.195334213283284264e-01,4.047218837978729944e-01
1.425123629753426879e+00,6.326224190282500048e-01,2.463428035419380713e+00,-2.075317460117282131e+00,9.365486446884839111e+00,2.339777111323977365e-01,4.151796242248455560e-01
