x1,x2,x3,x4,u,Y_p,Y_theta,Y_v,Y_w
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.645488430707650274e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.534199330806336192e+00,2.540094900077852214e-03,-5.072713680323470697e-03,1.693145966064166785e-01,-3.376324109917415162e-01
2.540094900077852214e-03,3.136519939909469645e+00,1.693145966064166785e-01,-3.376324109917415162e-01,5.391024711992658425e+00,8.465506824255803614e-03,-1.681629054355138209e-02,2.256507897115949679e-01,-4.439806702687636997e-01
1.100560172433365583e-02,3.119703649365918263e+00,3.949653863180116464e-01,-7.816130812605052158e-01,9.131524141263176020e+00,1.426069099338683754e-02,-2.800054483898550828e-02,1.606284915725372797e-01,-3.003709804175206388e-01
2.526629271772049337e-02,3.091703104526932755e+00,5.555938778905489261e-01,-1.081984061678025855e+00,1.405167444569826785e+00,2.074585159429418943e-02,-4.005271756065642563e-02,2.716082367488258376e-01,-5.015211457666270967e-01
4.601214431201468280e-02,3.051650386966276329e+00,8.272021146393747637e-01,-1.583505207444652951e+00,1.021163839002808693e+01,2.539537573282545091e-02,-4.772471957952539867e-02,3.835539412629784817e-02,-9.388141487089995962e-03
7.140752004484013371e-02,3.003925667386750931e+00,8.655575087656726119e-01,-1.592893348931742947e+00,-1.710780967630054050e+00,3.047298221934095774e-02,-5.532902599870626048e-02,2.999504507455683644e-01,-4.956318384754079265e-01
1.018805022641810915e-01,2.948596641388044670e+00,1.165507959511240976e+00,-2.088525187407150874e+00,8.155348808515626047e+00,3.408885607260060679e-02,-5.907415442695640451e-02,-5.866357257143861581e-02,2.446352841695385028e-01
1.359693583367816982e-01,2.889522486961088266e+00,1.106844386939802360e+00,-1.843889903237612371e+00,-2.480838434202828680e+00,3.671322855518083239e-02,-5.970995324860028930e-02,2.333564296242844893e-01,-2.849976409407448674e-01
1.726825868919625306e-01,2.829812533712487976e+00,1.340200816564086850e+00,-2.128887544178357238e+00,6.579027649421217205e+00,3.893745166467885155e-02,-5.858939640858640274e-02,-8.467716780711187496e-02,3.568768222918932143e-01
2.116200385566413822e-01,2.771223137303901574e+00,1.255523648756974975e+00,-1.772010721886464024e+00,-3.821760556524790076e+00,4.040430691191601587e-02,-5.488597114033577640e-02,1.821908273464234451e-01,-1.080815496682350219e-01
2.520243454685573981e-01,2.716337166163565797e+00,1.437714476103398420e+00,-1.880092271554699046e+00,4.138933723567074452e+00,4.124680703043609453e-02,-4.921415052056232753e-02,-1.255701114409542019e-01,4.825616052142587264e-01
2.932711524989934926e-01,2.667123015643003470e+00,1.312144364662444218e+00,-1.397530666340440320e+00,-4.324053374420106621e+00,4.098846356918817158e-02,-4.065329123579752846e-02,1.081206162384371616e-01,8.932118277708833709e-02
3.342596160681816642e-01,2.626469724407205941e+00,1.420264980900881380e+00,-1.308209483563351982e+00,1.985501458228745797e+00,4.050879016763198059e-02,-3.117808667288546332e-02,-1.398233796083847569e-01,5.395723049075592526e-01
3.747684062358136448e-01,2.595291637734320478e+00,1.280441601292496623e+00,-7.686371786557927299e-01,-4.886969812283003201e+00,3.908510342877408172e-02,-1.956187045207480324e-02,4.477393991255174122e-02,2.349617543075387394e-01
4.138535096645877265e-01,2.575729767282245675e+00,1.325215541205048364e+00,-5.336754243482539906e-01,6.588534131466605714e-02,3.742308481476697146e-02,-7.318137631468157878e-03,-1.555196123047108969e-01,5.798085446281713295e-01
4.512765944793546979e-01,2.568411629650777517e+00,1.169695928900337467e+00,4.613312027991738062e-02,-5.566094993864522777e+00,3.492412620857404670e-02,6.442773804413270966e-03,-1.112391890688813056e-02,3.367448628128869026e-01
4.862007206879287446e-01,2.574854403455190788e+00,1.158572009993449337e+00,3.828779830928042971e-01,-1.719012814054596827e+00,3.212376542442973992e-02,2.064487685191673805e-02,-1.756747304283287070e-01,6.096850550673386104e-01
5.183244861123584846e-01,2.595499280307107526e+00,9.828972795651206296e-01,9.925630381601429075e-01,-6.100557763840360082e+00,2.852991722258479967e-02,3.592555242277573058e-02,-6.385709165067243731e-02,4.073514268453166665e-01
5.468544033349432842e-01,2.631424832729883256e+00,9.190401879144481923e-01,1.399914465005459574e+00,-3.011181497942025498e+00,2.467907211517539334e-02,5.127895503039114899e-02,-1.930105738343825816e-01,6.162146257151681628e-01
5.715334754501186776e-01,2.682703787760274405e+00,7.260296140800656106e-01,2.016129090720627737e+00,-5.873357371390588000e+00,2.023966144051592142e-02,6.701672172148187556e-02,-1.027406495794446206e-01,4.304700228803994833e-01
5.917731368906345990e-01,2.749720509481756281e+00,6.232889645006209900e-01,2.446599113601027220e+00,-3.320524756979574388e+00,1.588857670310162007e-02,8.180412896255928601e-02,-1.873159558458612484e-01,5.545921547646206484e-01
6.076617135937362191e-01,2.831524638444315567e+00,4.359730086547597416e-01,3.001191268365647868e+00,-4.020202038637130215e+00,1.142042985804969657e-02,9.565572245405373764e-02,-1.101855682416787996e-01,3.657467511916223657e-01
6.190821434517859156e-01,2.927180360898369305e+00,3.257874404130809420e-01,3.366938019557270234e+00,-2.879067932003050778e+00,7.844580861870342758e-03,1.063813980125911662e-01,-1.279512734341268776e-01,3.473624606343381771e-01
6.269267243136562584e-01,3.033561758910960471e+00,1.978361669789540644e-01,3.714300480191608411e+00,3.477264396096981791e-01,4.586910005166311421e-03,1.147377193544127927e-01,-8.893828095008711465e-02,2.076365040057845945e-01
6.315136343188225698e-01,3.148299478265373263e+00,1.088978860288669498e-01,3.921936984197393006e+00,-3.235263417198627867e+00,3.459174811505483227e-03,1.168699982867833498e-01,1.381307029070440173e-02,-6.593438599043954795e-02
6.349728091303280531e-01,3.265169476552156613e+00,1.227109563195713515e-01,3.856002598206953458e+00,5.024348525257110509e+00,2.354267749040461766e-03,1.168718520045581855e-01,-8.742007674515522853e-02,6.549480774693750007e-02
6.373270768793685148e-01,3.382041328556714799e+00,3.529087957441612994e-02,3.921497405953890958e+00,-5.286281042351667736e+00,3.504792056799876931e-03,1.105167394384420909e-01,1.634475967487180603e-01,-4.845421434396213201e-01
6.408318689361683917e-01,3.492558067995156890e+00,1.987384763231341833e-01,3.436955262514269638e+00,3.638954810228433701e+00,3.867390870862075225e-03,1.036714329372361298e-01,-1.388374595164837966e-01,2.478452803876374233e-02
6.446992598070304670e-01,3.596229500932393019e+00,5.990101680665038675e-02,3.461739790553033380e+00,-8.187906478508987007e+00,3.689930346415515316e-03,9.637058202076298485e-02,1.261040120427073807e-01,-5.049438267939594382e-01
6.483891901534459823e-01,3.692600082953156004e+00,1.860050288493577675e-01,2.956795963759073942e+00,-3.288663576281809497e-01,2.305574384287245593e-03,8.933595197185217884e-02,-2.176729014070192814e-01,3.019831654561810907e-02
6.506947645377332279e-01,3.781936034925008183e+00,-3.166787255766151388e-02,2.986994280304692051e+00,-9.867283842925937520e+00,-7.759848503251509655e-04,8.386029878775813629e-02,1.146140781681657950e-02,-3.892623866351567763e-01
6.499187796874080769e-01,3.865796333712766319e+00,-2.020646474084493438e-02,2.597731893669535275e+00,-5.173762442406014905e+00,-4.540423276986338408e-03,7.766942669148368950e-02,-2.618770510042270350e-01,-2.828273628572741671e-02
6.453783564104217385e-01,3.943465760404250009e+00,-2.820835157450719555e-01,2.569449157383807858e+00,-1.006110241920731241e+01,-1.036572549031000712e-02,7.316467570112861196e-02,-1.269333167300111809e-01,-2.682849350912324127e-01
6.350126309201117314e-01,4.016630436105378621e+00,-4.090168324750831363e-01,2.301164222292575445e+00,-8.827280493965037778e+00,-1.624986726692068117e-02,6.709293482386247121e-02,-2.651621073695229480e-01,-1.383505368850368455e-01
6.187627636531910502e-01,4.083723370929241092e+00,-6.741789398446060844e-01,2.162813685407538600e+00,-1.047093747462841051e+01,-2.367740765917014656e-02,6.157721125604709300e-02,-2.301805877712561621e-01,-2.277364661962184567e-01
5.950853559940209037e-01,4.145300582185288185e+00,-9.043595276158622465e-01,1.935077219211320143e+00,-1.074810383977046513e+01,-3.127761337116241602e-02,5.484027818915748753e-02,-2.765056226987696597e-01,-2.211864705006600929e-01
5.638077426228584876e-01,4.200140860374445673e+00,-1.180865150314631906e+00,1.713890748710660050e+00,-1.132368420483936156e+01,-3.969487310104313771e-02,4.771178705231537975e-02,-2.846939242156218963e-01,-2.530984693610234260e-01
5.241128695218153499e-01,4.247852647426761052e+00,-1.465559074530253802e+00,1.460792279349636624e+00,-1.162673950134277590e+01,-4.848506816644904127e-02,3.981149559274399508e-02,-3.013340877384222960e-01,-2.726776361378713265e-01
4.756278013553663087e-01,4.287664143019505048e+00,-1.766893162268676098e+00,1.188114643211765298e+00,-1.179249492176856862e+01,-5.766145204234479626e-02,3.129999071980105185e-02,-3.104248870020362983e-01,-2.936660516822564571e-01
4.179663493130215124e-01,4.318964133739306099e+00,-2.077318049270712397e+00,8.944485915295088407e-01,-1.177238066775060155e+01,-6.705277673800397187e-02,2.220898365656154283e-02,-3.156443736352940732e-01,-3.112085921897488339e-01
3.509135725750175405e-01,4.341173117395867642e+00,-2.392962422906006470e+00,5.832399993397600069e-01,-1.156179949665098761e+01,-7.652141129258704932e-02,1.264265346816451085e-02,-3.155630665504531862e-01,-3.252784758601005022e-01
2.743921612824304912e-01,4.353815770864032153e+00,-2.708525489456459656e+00,2.579615234796595047e-01,-1.115231739369911601e+01,-8.590528305780290030e-02,2.714202730518699980e-03,-3.099817662344106495e-01,-3.353224103261880362e-01
1.884868782246275909e-01,4.356529973594550853e+00,-3.018507255690870306e+00,-7.736088684652850378e-02,-1.053945509777983602e+01,-9.503501730047271556e-02,-7.456456292556978838e-03,-2.986139712546389546e-01,-3.414507188409061644e-01
9.345186092415487533e-02,4.349073517301993874e+00,-3.317121226945509260e+00,-4.188116056874346405e-01,-9.719776288284977639e+00,-1.037346006401939080e-01,-1.776109470354292341e-02,-2.813036200878458182e-01,-3.443328146378949461e-01
-1.028273971603903270e-02,4.331312422598450951e+00,-3.598424847033355078e+00,-7.631444203253295866e-01,-8.688668531820264107e+00,-1.118240387505337607e-01,-2.812100481370816141e-02,-2.579403928069150531e-01,-3.452633359762707910e-01
-1.221067784665727934e-01,4.303191417784742789e+00,-3.856365239840270132e+00,-1.108407756301600378e+00,-7.437821773032125883e+00,-1.191196556209452168e-01,-3.850608687329337698e-02,-2.283872893418670280e-01,-3.461809407429394803e-01
-2.412264340875180102e-01,4.264685330911449412e+00,-4.084752529182137160e+00,-1.454588697044539858e+00,-5.953507809865635991e+00,-1.254319961567528507e-01,-4.895452756782248116e-02,-1.923935553044353597e-01,-3.496908503908948695e-01
-3.666584302442708609e-01,4.215730803343626931e+00,-4.277146084486572519e+00,-1.804279547435434727e+00,-4.217538615419821113e+00,-1.305613709519981569e-01,-5.959324536165233610e-02,-1.495250282003333098e-01,-3.590944705009111448e-01
-4.972198011962690178e-01,4.156137557981974595e+00,-4.426671112686905829e+00,-2.163374017936345872e+00,-2.214101925741124521e+00,-1.342924006466273412e-01,-7.065856220191779613e-02,-9.916796862544696722e-02,-3.783727057221053514e-01
-6.315122018428963591e-01,4.085478995780056799e+00,-4.525839081312352796e+00,-2.541746723658451224e+00,5.404380128961738805e-02,-1.363912525138011311e-01,-8.251301465609461872e-02,-4.070670653131980288e-02,-4.119353622896482214e-01
-7.679034543566974902e-01,4.002965981123962180e+00,-4.566545787843672599e+00,-2.953682085948099445e+00,2.541291773680693922e+00,-1.366126453332693336e-01,-9.564568824739261288e-02,2.599819868478903118e-02,-4.637480361492536396e-01
-9.045160996899668238e-01,3.907320292876569567e+00,-4.540547589158883568e+00,-3.417430122097353085e+00,5.141182644784997535e+00,-1.347259456242793085e-01,-1.106305827386355745e-01,9.980646518208580176e-02,-5.353598892225850392e-01
-1.039242045314246132e+00,3.796689710137933993e+00,-4.440741123976797766e+00,-3.952790011319938124e+00,7.698105045445741368e+00,-1.305652648601289822e-01,-1.280098822076873866e-01,1.774897134014876698e-01,-6.228115350210883250e-01
-1.169807310174375115e+00,3.668679827930246606e+00,-4.263251410575310096e+00,-4.575601546341026449e+00,1.004971163458740691e+01,-1.240944383591064959e-01,-1.480833392223455114e-01,2.535454707307271960e-01,-7.134636341325037989e-01
-1.293901748533481610e+00,3.520596488707901095e+00,-4.009705939844582900e+00,-5.289065180473530248e+00,1.206382587120367056e+01,-1.154660069174453518e-01,-1.706217778219665249e-01,3.208225379411273614e-01,-7.843091714870240594e-01
-1.409367755450926962e+00,3.349974710885934570e+00,-3.688883401903455539e+00,-6.073374351960554307e+00,1.364687472940099866e+01,-1.050584840158554911e-01,-1.945660071519901280e-01,3.714696062875688654e-01,-8.033062722817989609e-01
-1.514426239466782453e+00,3.155408703733944442e+00,-3.317413795615886674e+00,-6.876680624242353268e+00,1.474658487969600351e+01,-9.347780600660482442e-02,-2.178534480556932884e-01,3.985594020948468597e-01,-7.374699364100116838e-01
-1.607904045473387278e+00,2.937555255678251154e+00,-2.918854393521039814e+00,-7.614150560652364952e+00,1.537156852037759869e+01,-8.148046598643565730e-02,-2.376496240256202874e-01,3.996278132371431369e-01,-5.714765563944785853e-01
-1.689384511459822935e+00,2.699905631652630866e+00,-2.519226580283896677e+00,-8.185627117046843537e+00,1.562545125920940237e+01,-6.977549120363968349e-02,-2.511879165026198457e-01,3.805488905806861943e-01,-3.263206201116322092e-01
-1.759160002663462619e+00,2.448717715150011021e+00,-2.138677689703210483e+00,-8.511947737158475746e+00,1.575343636786711699e+01,-5.876692421869167404e-02,-2.568470660631567704e-01,3.550222879103166473e-01,-5.368656231642177090e-02
-1.817926926882154293e+00,2.191870649086854250e+00,-1.783655401792893835e+00,-8.565634299474897517e+00,1.614842092140913365e+01,-4.839170453835306418e-02,-2.546113273712864444e-01,3.393900267531499981e-01,1.960832622224142341e-01
-1.866318631420507357e+00,1.937259321715567806e+00,-1.444265375039743837e+00,-8.369551037252483283e+00,1.704848140806734236e+01,-3.812507109840823638e-02,-2.455302665376302151e-01,3.477788091969831186e-01,4.034046015221921522e-01
-1.904443702518915593e+00,1.691729055177937591e+00,-1.096486565842760719e+00,-7.966146435730291131e+00,1.748668423870680755e+01,-2.717207454883086015e-02,-2.306568428872652898e-01,3.845355100380998259e-01,5.848118222159079949e-01
-1.931615777067746453e+00,1.461072212290672301e+00,-7.119510558046608928e-01,-7.381334613514383136e+00,1.506293017447530502e+01,-1.514021033171575326e-02,-2.105134239373889216e-01,4.188288109900654144e-01,7.545374356753677958e-01
-1.946755987399462207e+00,1.250558788353283379e+00,-2.931222448145954784e-01,-6.626797177839015340e+00,9.948296657464011261e+00,-3.186401338644451187e-03,-1.864181078625202215e-01,3.780601090882712567e-01,8.432518638392796362e-01
-1.949942388738106658e+00,1.064140680490763158e+00,8.493786427367575054e-02,-5.783545313999735704e+00,5.113212777777227380e+00,6.367825252124426072e-03,-1.619677141505089235e-01,2.577693118943639172e-01,7.754473295126524945e-01
-1.943574563485982232e+00,9.021729663402542343e-01,3.427071761680396955e-01,-5.008097984487083210e+00,1.721042787369529758e+00,1.229440854811914008e-02,-1.409455797487509932e-01,1.360866958330760323e-01,6.177436705652201709e-01
-1.931280154937863092e+00,7.612273865915032411e-01,4.787938720011157279e-01,-4.390354313921863039e+00,-3.116440942090927813e-01,1.506016062352166784e-02,-1.248527820631659679e-01,4.739067492611742649e-02,4.505581098161557385e-01
-1.916219994314341424e+00,6.363746045283372732e-01,5.261845469272331544e-01,-3.939796204105707300e+00,-1.241889592045799517e+00,1.566785698061234910e-02,-1.134207601485562877e-01,-7.433555877679798307e-03,3.094353445952822135e-01
-1.900552137333729075e+00,5.229538443797809855e-01,5.187509910495533560e-01,-3.630360859510425087e+00,-1.344749657483481853e+00,1.506363053818882136e-02,-1.056600559183897836e-01,-3.315701999657205690e-02,2.071353040179739757e-01
-1.885488506795540253e+00,4.172937884613912018e-01,4.855939710529812992e-01,-3.423225555492451111e+00,-8.478988675427332478e-01,1.402752914076565993e-02,-1.003962811244765163e-01,-3.607542326123414078e-02,1.436394897797335091e-01
-1.871460977654774593e+00,3.168975073369146855e-01,4.495185477917471584e-01,-3.279586065712717602e+00,8.096114709032220524e-02,1.315913042543348510e-02,-9.653720722858499803e-02,-2.189545688451460803e-02,1.137874486462999712e-01
-1.858301847229341108e+00,2.203603001083296875e-01,4.276230909072325503e-01,-3.165798617066417631e+00,1.319295638753242850e+00,1.290490423044210466e-02,-9.316575150053099663e-02,4.905966301264386153e-03,1.112317247201568549e-01
-1.845396942998899004e+00,1.271945486077986909e-01,4.325290572084969365e-01,-3.054566892346260776e+00,2.769034213288747104e+00,1.359167754948065188e-02,-8.955647079377659914e-02,4.084591945181476058e-02,1.296371140342533756e-01
-1.831805265449418352e+00,3.763807781402209868e-02,4.733749766603116971e-01,-2.924929778312007400e+00,4.339876747897372766e+00,1.544941633150376248e-02,-8.517416753119744222e-02,8.296327106228096326e-02,1.627226909914472053e-01
-1.816355849117914589e+00,-4.753608971717535048e-02,5.563382477225926603e-01,-2.762207087320560195e+00,5.940616724692340256e+00,1.862118720654293291e-02,-7.967353261627063699e-02,1.284385268982936035e-01,2.041722752688084341e-01
-1.797734661911371656e+00,-1.272096223334459875e-01,6.847767746208862638e-01,-2.558034812051751761e+00,7.478959442832085358e+00,2.316512022777716950e-02,-7.289650803892253061e-02,1.744395764056463349e-01,2.478720057378862585e-01
-1.774569541683594487e+00,-2.001061303723685181e-01,8.592163510265325987e-01,-2.310162806313865502e+00,8.867671576318841176e+00,2.905521332335525564e-02,-6.485734367539619516e-02,2.181957355232116980e-01,2.884759972649892923e-01
-1.745514328360239231e+00,-2.649634740477647132e-01,1.077412086549744297e+00,-2.021686809048876210e+00,1.003310950957609649e+01,3.618652443243264294e-02,-5.570973628083802920e-02,2.572143679658895898e-01,3.220228059353082983e-01
-1.709327803927806588e+00,-3.206732103286027424e-01,1.334626454515633887e+00,-1.699664003113567912e+00,1.092200757568675940e+01,4.438710344588314705e-02,-4.569959004586043871e-02,2.895147612880635268e-01,3.462819851474669974e-01
-1.664940700481923441e+00,-3.663728003744631812e-01,1.624141215803697413e+00,-1.353382017966100914e+00,1.150413018552923639e+01,5.343554562494157167e-02,-3.511411145055121086e-02,3.137724993929511541e-01,3.606710999940992979e-01
-1.611505154856981870e+00,-4.014869118250143920e-01,1.937913715196648567e+00,-9.927109179720016163e-01,1.177101318496858617e+01,6.308085211168501516e-02,-2.423906888733229348e-02,3.293323572917654651e-01,3.658160146944764435e-01
-1.548424302745296854e+00,-4.257259807123466855e-01,2.267246072488414033e+00,-6.268949032775251728e-01,1.173278715886823775e+01,7.306115015199377005e-02,-1.333138365328540020e-02,3.361210852626195233e-01,3.629816953988239669e-01
-1.475363152593303084e+00,-4.390573643656320857e-01,2.603367157751033556e+00,-2.639132078787012059e-01,1.141486912265324349e+01,8.311933229886370178e-02,-2.607293161391188718e-03,3.345290793898838544e-01,3.536056532250720363e-01
-1.392243820294439383e+00,-4.416646575270232744e-01,2.937896237140917410e+00,8.969244534637083044e-02,1.085472468661282264e+01,9.301544861487864857e-02,7.758832785167479873e-03,3.253112268711677579e-01,3.390500659656001670e-01
-1.299228371679560734e+00,-4.339058247418557945e-01,3.263207464012085168e+00,4.287425113119709974e-01,1.009776359036705173e+01,1.025364053355619642e-01,1.763115934576792165e-02,3.095054941793211611e-01,3.205424502083666360e-01
-1.196691966343998770e+00,-4.162746653960878729e-01,3.572712958191406329e+00,7.492849615203376334e-01,9.191865302980154695e+00,1.115029758261922854e-01,2.690849027801667237e-02,2.883344863064176700e-01,2.991914621364777371e-01
-1.085188990517806484e+00,-3.893661751180712005e-01,3.861047444497823999e+00,1.048476423656815371e+00,8.181306830135998354e+00,1.197732976088990986e-01,3.552056097592837247e-02,2.630691920788010840e-01,2.759782053398602830e-01
-9.654156929089073857e-01,-3.538456141421428280e-01,4.124116636576625083e+00,1.324454628996675654e+00,7.101549482762693266e+00,1.272419841958194464e-01,4.342330129839300223e-02,2.348725924732146808e-01,2.516916076886164255e-01
-8.381737087130879393e-01,-3.104223128437498258e-01,4.358989229049839764e+00,1.576146236685292079e+00,5.975996194750569757e+00,1.338348363954823261e-01,5.059174129206572834e-02,2.046625278637872469e-01,2.268331392338522878e-01
-7.043388723176056132e-01,-2.598305715516840975e-01,4.563651756913627011e+00,1.802979375919144367e+00,4.815041469748400083e+00,1.395002055311584943e-01,5.701026348459856119e-02,1.730256581818183648e-01,2.015348813149557827e-01
-5.648386667864471189e-01,-2.028203080670855363e-01,4.736677415095445376e+00,2.004514257234100150e+00,3.617141287249677095e+00,1.441987081287434691e-01,6.266114271133832458e-02,1.401938032992999794e-01,1.755290019550588276e-01
-4.206399586577036498e-01,-1.401591653557472117e-01,4.876871218394745355e+00,2.180043259189158977e+00,2.371431415889149630e+00,1.478930929713427878e-01,6.751329154099355856e-02,1.060780203640856456e-01,1.481945236247517173e-01
