x1,x2,x3,x4,u,Y_p,Y_theta,Y_v,Y_w
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.808300720651346172e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.726030250994188719e+00,8.136156176976434232e-04,-1.624837818423596758e-03,5.423306306255121917e-02,-1.081470977458794669e-01
8.136156176976434232e-04,3.139967815771369519e+00,5.423306306255121917e-02,-1.081470977458794669e-01,7.764841909537208986e-01,2.402395900767429274e-03,-4.769067437094598461e-03,5.167010690823248958e-02,-1.011283364128940099e-01
3.216011518465072914e-03,3.135198748334274921e+00,1.059031699707837088e-01,-2.092754341587734768e-01,1.089349249401840192e+00,3.522708409416435479e-03,-6.893617233308280134e-03,2.300688189688192276e-02,-4.027863946343193668e-02
6.738719927881508392e-03,3.128305131100966641e+00,1.289100518676656315e-01,-2.495540736222054135e-01,-7.331078974842357709e-01,4.350442486835654626e-03,-8.312207052570297350e-03,3.216819173442164725e-02,-5.413947952779721295e-02
1.108916241471716302e-02,3.119992924048396343e+00,1.610782436020872788e-01,-3.036935531500026264e-01,3.913628243321110034e-01,4.491618940976742011e-03,-8.213365068295619409e-03,-2.275524727851532814e-02,6.071356792864696095e-02
1.558078135569390503e-02,3.111779558980100724e+00,1.383229963235719506e-01,-2.429799852213556655e-01,-2.225100775938991138e+00,4.311515877246404130e-03,-7.328189056083900255e-03,1.075232320627719784e-02,-1.794251684604286634e-03
1.989229723294030916e-02,3.104451369924016824e+00,1.490753195298491485e-01,-2.447742369059599521e-01,-2.675084557336382396e-01,3.453803327221650898e-03,-4.961931583860046402e-03,-6.792041525920806955e-02,1.592817164219377246e-01
2.334610056016196006e-02,3.099489438340156777e+00,8.115490427064107892e-02,-8.549252048402224136e-02,-3.351386199085699236e+00,2.295396324193007404e-03,-1.908330080206965818e-03,-9.292630116292194264e-03,4.396834338824356925e-02
2.564149688435496746e-02,3.097581108259949811e+00,7.186227415434888466e-02,-4.152417709577867211e-02,-1.137829141192749027e+00,6.286996620722094808e-04,2.192732892728255223e-03,-1.018011969902940794e-01,2.289987294431098941e-01
2.627019654642717694e-02,3.099773841152678067e+00,-2.993892283594518783e-02,1.874745523473312359e-01,-3.849279341720360570e+00,-1.427660618506298995e-03,7.032874401422972710e-03,-3.526576702240353384e-02,9.315525723376277822e-02
2.484253592792087795e-02,3.106806715554101039e+00,-6.520468985834872166e-02,2.806298095810940141e-01,-2.242974713072536375e+00,-3.702066955591214181e-03,1.218575598701487905e-02,-1.163377175658050072e-01,2.498278735850872345e-01
2.114046897232966377e-02,3.118992471541115918e+00,-1.815424074241537289e-01,5.304576831661812486e-01,-3.893460798146268331e+00,-6.463175592776282744e-03,1.809667691392480293e-02,-6.770430366856711180e-02,1.435812234300355428e-01
1.467729337955338102e-02,3.137089148455040721e+00,-2.492467110927208407e-01,6.740389065962167914e-01,-3.230694400888725504e+00,-9.228160567187495764e-03,2.369771189351155272e-02,-1.165960085266436463e-01,2.291952519830272594e-01
5.449132812365885259e-03,3.160786860348552274e+00,-3.658427196193644870e-01,9.032341585792440508e-01,-3.923647238991384789e+00,-1.241571003628853809e-02,2.972353833417296087e-02,-9.586968751008012601e-02,1.718361421012797319e-01
-6.966577223922651961e-03,3.190510398682725235e+00,-4.617124071294446130e-01,1.075070300680523783e+00,-3.852837192295565760e+00,-1.558809877290924517e-02,3.518830338326317531e-02,-1.155822317725376802e-01,1.918129354719910751e-01
-2.255467599683189800e-02,3.225698702065988410e+00,-5.772946389019822933e-01,1.266883236152514858e+00,-4.082969968611948275e+00,-1.900453503294673163e-02,4.050504302295232506e-02,-1.121401776673842665e-01,1.619826905290207009e-01
