x1,x2,x3,x4,u,Y_p,Y_theta,Y_v,Y_w
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.013693461840155408e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.880948738172567580e+00,9.060287430950569702e-04,-1.809392178801605411e-03,6.039303038265327050e-02,-1.204307884549635499e-01
9.060287430950569702e-04,3.139783261410991511e+00,6.039303038265327050e-02,-1.204307884549635499e-01,6.352755879048808119e-01,2.656761655533806162e-03,-5.273793706613183474e-03,5.630538074975520446e-02,-1.101547208415262213e-01
3.562790398628863132e-03,3.134509467704378327e+00,1.166984111324084750e-01,-2.305855092964897712e-01,1.142877673756004242e+00,3.782630667525602002e-03,-7.397281613650275034e-03,1.874206569459929694e-02,-3.118175186488367223e-02
7.345421066154465134e-03,3.127112186090728052e+00,1.354404768270077719e-01,-2.617672611613734435e-01,-1.991404675693313475e+00,4.569852379835214612e-03,-8.713906686909744792e-03,3.373262599208742829e-02,-5.644931693607085910e-02
1.191527344598967975e-02,3.118398279403818307e+00,1.691731028190952002e-01,-3.182165780974443026e-01,3.926314252584881537e-01,4.167590309917989372e-03,-7.502051459798764199e-03,-6.054285010839202674e-02,1.371001664203453929e-01
1.608286375590766912e-02,3.110896227944019543e+00,1.086302527107031735e-01,-1.811164116770989096e-01,-4.889582587343637599e+00,3.421206715173583102e-03,-5.470894675587700817e-03,1.079304491445792769e-02,-1.902497520584078838e-03
1.950407047108125222e-02,3.105425333268431842e+00,1.194232976251611011e-01,-1.830189091976829885e-01,-9.753417569013596022e-01,1.366274963628313216e-03,-7.323813987278882109e-04,-1.477649070418694810e-01,3.172894909706827082e-01
2.087034543470956544e-02,3.104692951869703954e+00,-2.834160941670837291e-02,1.342705817729997475e-01,-6.220859259170088862e+00,-1.304709420683631410e-03,5.248533395680876623e-03,-3.027210452316256989e-02,8.079756339485638650e-02
1.956563601402593403e-02,3.109941485265384831e+00,-5.861371393987094280e-02,2.150681451678561340e-01,-3.244593790927255750e+00,-4.570228369943302518e-03,1.232513380790711821e-02,-1.873975831066672371e-01,3.902365904492414161e-01
1.499540764408263151e-02,3.122266619073291949e+00,-2.460112970465381799e-01,6.053047356170975224e-01,-5.965318047081697550e+00,-8.846135029330131835e-03,2.120312558035708506e-02,-9.761431477645987620e-02,2.006470345818556211e-01
6.149272614752499672e-03,3.143469744653649034e+00,-3.436256118229980561e-01,8.059517701989531435e-01,-4.665809210763570469e+00,-1.298810979182598441e-02,2.944127806399743363e-02,-1.784656281375525677e-01,3.476172581221548263e-01
-6.838837177073485603e-03,3.172911022717646468e+00,-5.220912399605506238e-01,1.153569028321107970e+00,-5.224029471838546712e+00,-1.774123885145859406e-02,3.837614200368477668e-02,-1.383469890525278467e-01,2.469826360428781786e-01
-2.458007602853207879e-02,3.211287164721331244e+00,-6.604382290130784705e-01,1.400551664363986148e+00,-4.690381720492171169e+00,-2.212100282981245558e-02,4.587177577686718521e-02,-1.535700636479923054e-01,2.517450311921374251e-01
-4.670107885834453437e-02,3.257158940498198429e+00,-8.140082926610707759e-01,1.652296695556123574e+00,-4.398465139227520027e+00,-2.646068250921632808e-02,5.244663425706264093e-02,-1.356868705150250376e-01,1.857421398812784119e-01
-7.316176136756086246e-02,3.309605574755261070e+00,-9.496951631760958135e-01,1.838038835437401985e+00,-3.875006113477724057e+00,-3.036828073822996077e-02,5.719135667956321001e-02,-1.247833839964488378e-01,1.299690685654666389e-01
-1.035300421057908232e-01,3.366796931434824280e+00,-1.074478547172544651e+00,1.968007904002868624e+00,-3.288345496662500533e+00,-3.384310100682443034e-02,6.001950028650293589e-02,-1.068702022958363251e-01,5.831156973051765391e-02
-1.373731431126152536e-01,3.426816431721327216e+00,-1.181348749468380976e+00,2.026319473733386278e+00,-2.619447656195139196e+00,-3.675403695722376241e-02,6.063989350836651582e-02,-8.722925332324993342e-02,-1.683395999246339869e-02
-1.741271800698390160e-01,3.487456325229693732e+00,-1.268578002791630910e+00,2.009485513740922880e+00,-1.895555139946869527e+00,-3.904450383665691859e-02,5.897078078979234306e-02,-6.554005441572607893e-02,-9.394539948137792251e-02
-2.131716839064959346e-01,3.546427106019486075e+00,-1.334118057207356989e+00,1.915540114259544957e+00,-1.136371993802196556e+00,-4.066825133979862228e-02,5.501286290365703380e-02,-4.280189307172244106e-02,-1.691104783020849212e-01
-2.538399352462945568e-01,3.601439968923143109e+00,-1.376919950279079430e+00,1.746429635957460036e+00,-3.536934296740359418e-01,-4.160404393563266190e-02,4.886848875895388744e-02,-1.967809561397304563e-02,-2.395026213562463369e-01
-2.954439791819272187e-01,3.650308457682096996e+00,-1.396598045893052475e+00,1.506927014601213699e+00,4.468727611172622627e-01,-4.184514484699614068e-02,4.070631304446203913e-02,3.527564505960478769e-03,-3.035362763338964598e-01
-3.372891240289233594e-01,3.691014770726559036e+00,-1.393070481387091997e+00,1.203390738267317239e+00,1.271118217166983921e+00,-4.138951657205158785e-02,3.072583466623290960e-02,2.680078033934885084e-02,-3.607251985260554461e-01
-3.786786406009749473e-01,3.721740605392791945e+00,-1.366269701047743146e+00,8.426655397412617932e-01,2.133038097692526502e+00,-4.022941712511712842e-02,1.912301035941021965e-02,5.052924059889596364e-02,-4.117617185995416373e-01
-4.189080577260920757e-01,3.740863615752202165e+00,-1.315740460448847182e+00,4.309038211417201558e-01,3.053130067109391721e+00,-3.834141095195608973e-02,6.060689405672281538e-03,7.536490901084524907e-02,-4.581289445792945947e-01
-4.572494686780481654e-01,3.746924305157874446e+00,-1.240375551438001933e+00,-2.722512343757444928e-02,4.053921449785759634e+00,-3.567974275710322773e-02,-8.351095219618187571e-03,1.021383259255241871e-01,-5.018356606768026307e-01
-4.929292114351513932e-01,3.738573209938256259e+00,-1.138237225512477746e+00,-5.290607841143770695e-01,5.155822843309690207e+00,-3.217335578826879816e-02,-2.406564550567180660e-02,1.317006803122824365e-01,-5.450658138277628684e-01
