x1,x2,x3,x4,u,Y_p,Y_theta,Y_v,Y_w
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.292125665182738192e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.311864697604382179e-01,-1.031304781312712476e-03,2.059575658267309706e-03,-6.874353497417458325e-02,1.370826610665630829e-01
-1.031304781312712476e-03,3.143652229248060426e+00,-6.874353497417458325e-02,1.370826610665630829e-01,-6.907630483764450879e-01,-1.956773982760479091e-03,3.871477192382233312e-03,7.054474369121335742e-03,-1.648472385245330907e-02
-2.988078764073191351e-03,3.147523706440442659e+00,-6.168906060505324751e-02,1.205979372141097739e-01,3.298058127271610296e-01,-2.158319134583526738e-03,4.169384973106815551e-03,-2.048930332453177683e-02,3.631272681403832636e-02
-5.146397898656718088e-03,3.151693091413549475e+00,-8.217836392958502434e-02,1.569106640281481002e-01,-2.482821241903867548e-01,-2.311813369053646386e-03,4.297831786578054647e-03,1.025689719508367237e-02,-2.776286791537435628e-02
-7.458211267710364474e-03,3.155990923200127529e+00,-7.192146673450135197e-02,1.291477961127737439e-01,2.411850367278646767e-01,-2.262431636449836921e-03,3.945352364407739287e-03,-6.966458330957034373e-03,4.301873680296386393e-03
-9.720642904160201395e-03,3.159936275564535269e+00,-7.888792506545838634e-02,1.334496697930701303e-01,-7.602887740922326110e-04,-2.249447134355675795e-03,3.596019630436764203e-03,7.830297651122294922e-03,-2.755249212746070653e-02
-1.197009003851587719e-02,3.163532295194972033e+00,-7.105762741433609142e-02,1.058971776656094238e-01,8.094798256446808504e-02,-2.121933108078639246e-03,2.954613568917352495e-03,6.675161297547554939e-04,-1.513889269870200005e-02
-1.409202314659451644e-02,3.166486908763889385e+00,-7.039011128458133593e-02,9.075828496690742375e-02,-4.299887054829416855e-02,-2.063914188485574397e-03,2.399893040066380934e-03,3.197676180673764135e-03,-2.178251666257605135e-02
-1.615593733508009083e-02,3.168886801803955766e+00,-6.719243510390757179e-02,6.897576830433137240e-02,-9.338902933592291289e-02,-2.022789301087974528e-03,1.836601067431775647e-03,-4.587645499533749005e-04,-1.570959383789718999e-02
-1.817872663616806536e-02,3.170723402871387542e+00,-6.765119965386094669e-02,5.326617446643418241e-02,-1.332353828441174282e-01,-2.058484515611368887e-03,1.394293885142783296e-03,-1.923079394240412299e-03,-1.372985206997640040e-02
-2.023721115177943425e-02,3.172117696756530325e+00,-6.957427904810135899e-02,3.953632239645778201e-02,-1.468735430629010685e-01,-2.133551003313714778e-03,1.006000845992005566e-03,-3.083252220487234241e-03,-1.211446860186210159e-02
-2.237076215509314903e-02,3.173123697602522331e+00,-7.265753126858859323e-02,2.742185379459568043e-02,-1.543929689703151809e-01,-2.231795298607973377e-03,6.462385960830374643e-04,-3.468128239126913592e-03,-1.183086435992054819e-02
-2.460255745370112240e-02,3.173769936198605368e+00,-7.612565950771550682e-02,1.559098943467513224e-02,-1.631144786603926644e-01,-2.338990014512397353e-03,2.929489169174459562e-04,-3.679915068825090341e-03,-1.168366085319421516e-02
-2.694154746821351976e-02,3.174062885115522814e+00,-7.980557457654059716e-02,3.907328581480917946e-03,-1.762836495183191521e-01,-2.453233778253207514e-03,-5.143540667829071822e-05,-3.938021118076284743e-03,-1.123813411854160740e-02
-2.939478124646672727e-02,3.174011449708844523e+00,-8.374359569461688191e-02,-7.330805537060689457e-03,-1.936537399268574711e-01,-2.577371102202529601e-03,-3.751652198569210839e-04,-4.339385208587259735e-03,-1.030891860958940698e-02
