x1,x2,x3,x4,u,Y_p,Y_theta,Y_v,Y_w
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.088089911523832054e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.383916523559506118e+00,-9.395022154808131427e-04,1.876240637651349630e-03,-6.262426630425170504e-02,1.248801315873571544e-01
-9.395022154808131427e-04,3.143468894227444466e+00,-6.262426630425170504e-02,1.248801315873571544e-01,-2.610972571271565013e+00,-2.500018514321428881e-03,4.959592332838269613e-03,-4.139494248396800857e-02,8.034339559204135839e-02
-3.439520729802242240e-03,3.148428486560282735e+00,-1.040192087882197136e-01,2.052235271793985127e-01,-2.144288376736634305e+00,-4.291398392294155581e-03,8.416433772371334499e-03,-7.801288652345866881e-02,1.497364525287114834e-01
-7.730919122096397388e-03,3.156844920332654070e+00,-1.820320953116783824e-01,3.549599797081099961e-01,-4.609966151085981068e+00,-6.417361268922813604e-03,1.239266015919548991e-02,-6.369754836463528691e-02,1.149112875578953141e-01
-1.414828039101921099e-02,3.169237580491849560e+00,-2.457296436763136693e-01,4.698712672660053102e-01,-3.845934752015355951e+00,-9.431358962488549727e-03,1.792163457607465205e-02,-1.372029453035184532e-01,2.530559509951534891e-01
-2.357963935350776072e-02,3.187159215067924212e+00,-3.829325889798321225e-01,7.229272182611587994e-01,-6.032281357397502930e+00,-1.319392268026097284e-02,2.462453776549189399e-02,-1.135956088763051541e-01,1.930476446835940330e-01
-3.677356203376873356e-02,3.211783752833416106e+00,-4.965281978561372767e-01,9.159748629447528323e-01,-5.512834847521684623e+00,-1.757152076632645388e-02,3.210660137479592890e-02,-1.781837472973182845e-01,3.048001709844341267e-01
-5.434508280009518744e-02,3.243890354208212035e+00,-6.747119451534555612e-01,1.220775033929186959e+00,-6.284918148430656437e+00,-2.266409091539300924e-02,4.042208023375337689e-02,-1.612585198465537051e-01,2.485433439969906289e-01
-7.700917371548819668e-02,3.284312434441965411e+00,-8.359704650000092663e-01,1.469318377926177588e+00,-5.928275560662387811e+00,-2.782319741416430792e-02,4.810902884714884920e-02,-1.826034650346097798e-01,2.628295395906892207e-01
-1.048323711296525046e-01,3.332421463289114261e+00,-1.018573930034619046e+00,1.732147917516866809e+00,-5.718333446677582366e+00,-3.310928483808160683e-02,5.512842593393951773e-02,-1.697426284519047979e-01,2.042045634782569952e-01
-1.379416559677341114e-01,3.387549889223053778e+00,-1.188316558486523844e+00,1.936352480995123804e+00,-5.215390471244012893e+00,-3.807075141336507818e-02,6.044435840149775530e-02,-1.609827245013826236e-01,1.494927329025432794e-01
-1.760124073810991896e-01,3.447994247624551534e+00,-1.349299282987906468e+00,2.085845213897667083e+00,-4.654268628083805481e+00,-4.263676535667521028e-02,6.382158618599165223e-02,-1.434229722468569612e-01,7.535152020662616579e-02
-2.186491727377743999e-01,3.511815833810543186e+00,-1.492722255234763429e+00,2.161196734104293249e+00,-4.023737369490538285e+00,-4.665278176891723971e-02,6.492264688585569488e-02,-1.243600884201927492e-01,-1.833494169382277050e-03
-2.653019545066916396e-01,3.576738480696398881e+00,-1.617082343654956178e+00,2.159363239934910972e+00,-3.376501067915259391e+00,-5.007295221670565732e-02,6.368991573599780409e-02,-1.037379805278730860e-01,-7.982926130543921417e-02
-3.153749067233972969e-01,3.640428396432396685e+00,-1.720820324182829264e+00,2.079533978629471758e+00,-2.727807295421361466e+00,-5.287701806490474610e-02,6.017952817721283765e-02,-8.330647031925142443e-02,-1.533641523115205629e-01
